"CARTMAN","STAN","KENNY","CHEF","MR..GARRISON","WENDY","NARRATOR","ANNOUNCER","JIMBO","MAYOR","JESUS","TERRANCE","REPORTER","COUNSELOR.MACKEY","SHARON","RANDY","JIMMY","BUTTERS","CHRIS","MS..CHOKSONDIK","MEPHESTO","MS..CARTMAN","KYLE","ALL.OTHERS","word"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"look dont know"
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,"looks like youre"
4,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,"new years eve"
4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,"now im gonna"
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,"now lets get"
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,"now lets go"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,"oh god look"
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,15,"oh god oh"
4,1,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0,0,0,6,"oh im sorry"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"oh im sure"
2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,"oh jesus christ"
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"oh jesus dont"
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,"oh oh god"
3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,"oh oh oh"
4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"oh thank god"
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,"oh thats great"
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"oh wait wait"
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"oh yeah yeah"
1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"okay lets try"
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,"people south park"
3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,"play truth dare"
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,"right im gonna"
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"right now im"
1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"sexy action school"
1,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,10,"south park colorado"
0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,"south park cows"
1,1,0,0,1,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,8,"south park elementary"
0,0,0,3,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"south park flag"
0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,"south park now"
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,"south park will"
0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"stupidest home videos"
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,"teacher mr garrison"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,"thats great idea"
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,"theyre gonna say"
2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,"thing ive ever"
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"uh thats okay"
4,4,0,6,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"wait wait wait"
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,"well dont know"
0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,"well im sure"
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"well lets just"
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"well lets see"
4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,"well looks like"
2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,6,"well well well"
1,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6,"weve got get"
3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,"weve gotta get"
2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,"yeah yeah yeah"
3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,9,"youre gonna get"
