"CARTMAN","STAN","KENNY","CHEF","MR..GARRISON","WENDY","NARRATOR","ANNOUNCER","JIMBO","MAYOR","JESUS","TERRANCE","REPORTER","COUNSELOR.MACKEY","SHARON","RANDY","JIMMY","BUTTERS","CHRIS","MS..CHOKSONDIK","MEPHESTO","MS..CARTMAN","KYLE","ALL.OTHERS","word"
24,22,0,4,6,1,1,1,4,4,2,1,1,2,2,2,7,3,2,0,3,2,21,97,"a lot"
12,2,0,5,1,0,0,0,2,0,0,1,1,0,1,2,0,1,0,1,2,0,4,23,"a man"
2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"a mans"
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,"a meeting"
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,"a meteor"
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,"a million"
27,22,0,6,6,0,0,1,3,0,2,1,1,1,3,5,1,4,0,1,0,1,9,43,"a minute"
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,"a miracle"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,4,"a month"
11,8,0,1,5,1,2,2,1,2,1,0,0,0,1,6,2,1,0,0,0,2,6,34,"a new"
4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,3,18,"a nice"
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,"a night"
0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,12,"a normal"
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"a note"
1,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"a paper"
0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,7,"a part"
1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"a party"
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,"a person"
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,6,"a picture"
5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"a piece"
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,"a place"
0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"a point"
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,"a present"
4,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,2,11,"a pretty"
3,0,0,3,3,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,4,13,"a problem"
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,"a pussy"
2,3,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,"a question"
0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"a racist"
3,1,2,0,3,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,3,11,"a real"
6,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,"a really"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"a regular"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"a reward"
2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8,"a seat"
14,4,0,4,1,1,0,0,0,0,0,1,0,1,0,2,2,3,0,0,0,0,5,31,"a second"
1,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,"a shot"
1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,"a show"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"a silly"
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,9,"a small"
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,"a song"
3,1,0,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,12,"a special"
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,"a stop"
15,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,"a stupid"
3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"a sudden"
2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,"a surprise"
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,"a sweet"
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,2,"a talk"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,"a tampon"
2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"a team"
1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"a terrible"
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,2,"a terrific"
4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14,"a thousand"
2,1,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,12,"a time"
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,"a tooth"
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"a town"
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"a tree"
4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,1,10,"a turd"
8,3,0,4,3,0,2,0,1,2,1,1,0,3,0,3,0,1,3,0,2,4,2,45,"a very"
2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,"a vote"
2,17,0,2,2,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,1,0,5,13,"a way"
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,"a week"
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,"a what"
7,1,0,2,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,2,6,18,"a while"
6,5,0,1,3,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,6,"a whole"
1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,"a whore"
3,0,0,3,5,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,3,19,"a woman"
2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,"a womans"
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"a wonderful"
1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,"a word"
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,"ability to"
8,6,0,3,2,0,0,0,1,0,0,1,0,0,0,3,0,4,0,1,0,0,7,28,"able to"
