"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL"
"Stan","self",36,34748,11,3.3723371560746,32.6276628439254,12.6961306559838
"Stan","return",85,34748,19,7.96246272962058,77.0375372703794,12.6364006191271
"Stan","weve gotta",127,34748,25,11.8968560783743,115.103143921626,12.4754961169722
"Stan","come weve",26,34748,9,2.43557683494277,23.5644231650572,12.4248961248217
"Stan","whats",1039,34748,132,97.3293973655975,941.670602634402,12.392288403497
"Stan","aw come",32,34748,10,2.99763302762187,29.0023669723781,11.9365024371904
"Stan","hell",1055,34748,133,98.8282138794084,956.171786120592,11.8854328358114
"Stan","says",260,34748,42,24.3557683494277,235.644231650572,11.8386191498053
"Stan","clubhouse",38,34748,11,3.55968922030097,34.440310779699,11.6777794320693
"Stan","figured",38,34748,11,3.55968922030097,34.440310779699,11.6777794320693
"Stan","cant let",62,34748,15,5.80791399101737,56.1920860089826,11.6737992406996
"Stan","come lets",69,34748,16,6.46364621580965,62.5363537841903,11.4662940158194
"Stan","learned something",39,34748,11,3.65336525241415,35.3466347475859,11.2014978915534
"Stan","gonna tell",28,34748,9,2.62292889916913,25.3770711008309,11.1953248681679
"Stan","douche",84,34748,18,7.8687866975074,76.1312133024926,10.9387682600586
"Stan","youve gotta",91,34748,19,8.52451892229968,82.4754810777003,10.8964807041194
"Stan","can stop",34,34748,10,3.18498509184823,30.8150149081518,10.8852342770366
"Stan","youre going",88,34748,1,8.24349082596013,79.7565091740399,-10.9069305451966
"Stan","walk",132,34748,3,12.3652362389402,119.63476376106,-10.9475257455169
"Stan","case",113,34748,2,10.5853916287897,102.41460837121,-11.2058753722608
"Stan","now im",113,34748,2,10.5853916287897,102.41460837121,-11.2058753722608
"Stan","works",91,34748,1,8.52451892229968,82.4754810777003,-11.429658459285
"Stan","boy",738,34748,44,69.1329116995293,668.867088300471,-11.4365579886129
"Stan","hands",155,34748,4,14.5197849775434,140.480215022457,-11.4946365276799
"Stan","mayor",136,34748,3,12.7399403673929,123.260059632607,-11.5532398210421
"Stan","michael",59,34748,0,5.52688589467782,53.4731141053222,-11.6041138630207
"Stan","oho",59,34748,0,5.52688589467782,53.4731141053222,-11.6041138630207
"Stan","power",229,34748,8,21.451811353919,207.548188646081,-11.9753455031433
"Stan","well think",62,34748,0,5.80791399101737,56.1920860089826,-12.1942546820732
"Stan","take",1429,34748,97,133.863049889739,1295.13695011026,-12.2768862752885
"Stan","billy",97,34748,1,9.08657511497878,87.9134248850212,-12.4815723949538
"Stan","mr marsh",64,34748,0,5.99526605524373,58.0047339447563,-12.5876821579607
"Stan","stan stan",64,34748,0,5.99526605524373,58.0047339447563,-12.5876821579607
"Stan","canadian",98,34748,1,9.18025114709197,88.819748852908,-12.6576703858232
"Stan","woman",200,34748,6,18.7352064226367,181.264793577363,-12.6811688100225
"Stan","line",182,34748,5,17.0490378445994,164.950962155401,-12.6909730909386
"Stan","heck",65,34748,0,6.08894208735692,58.9110579126431,-12.784395969937
"Stan","call",509,34748,26,47.6811003456103,461.31889965439,-12.8307670957762
"Stan","father",236,34748,8,22.1075435787113,213.892456421289,-12.8621222809704
"Stan","honor",66,34748,0,6.1826181194701,59.8173818805299,-12.9811098292561
"Stan","news",287,34748,11,26.8850212164836,260.114978783516,-13.0601341274641
"Stan","canada",186,34748,5,17.4237419730521,168.576258026948,-13.257432203929
"Stan","air",102,34748,1,9.5549552755447,92.4450447244553,-13.3641245187964
"Stan","student",68,34748,0,6.36997018369647,61.6300298163035,-13.3745376842906
"Stan","students",168,34748,4,15.7375733950148,152.262426604985,-13.3995231679577
"Stan","quite",103,34748,1,9.64863130765788,93.3513686923421,-13.5412332743532
"Stan","fuckin",169,34748,4,15.831249427128,153.168750572872,-13.548189577122
"Stan","wonderful",69,34748,0,6.46364621580965,62.5363537841903,-13.5712516773443
"Stan","woohoo",105,34748,1,9.83598337188425,95.1640166281157,-13.8960182536197
"Stan","doin",130,34748,2,12.1778841747138,117.822115825286,-13.9847956727128
"Stan","right",3439,34748,260,322.151874437237,3116.84812556276,-14.0773781776858
"Stan","mrs",153,34748,3,14.3324329133171,138.667567086683,-14.1832724348839
"Stan","sweetie",107,34748,1,10.0233354361106,96.9766645638894,-14.2515359678315
"Stan","kids",909,34748,54,85.1515131908836,823.848486809116,-14.2779631166162
"Stan","ive",989,34748,60,92.6455957599383,896.354404240062,-14.3335581978114
"Stan","hat",249,34748,8,23.3253319961827,225.674668003817,-14.5470268194811
"Stan","stans",79,34748,0,7.40040653694148,71.5995934630585,-15.5383937372104
"Stan","afraid",204,34748,5,19.1099105510894,184.890089448911,-15.8625366895629
"Stan","seat",86,34748,0,8.05613876173377,77.9438612382662,-16.9153951470167
"Stan","appears",87,34748,0,8.14981479384695,78.850185206153,-17.1121097476657
"Stan","poor",213,34748,5,19.9529948401081,193.047005159892,-17.1960047165106
"Stan","world",599,34748,29,56.1119432357968,542.888056764203,-17.2728043930413
"Stan","heh",197,34748,4,18.4541783262971,178.545821673703,-17.8161661872276
"Stan","jew",176,34748,3,16.4869816519203,159.51301834808,-17.8597025896066
"Stan","human",91,34748,0,8.52451892229968,82.4754810777003,-17.8989684086424
"Stan","hello",763,34748,40,71.4748125023589,691.525187497641,-17.9236971021287
"Stan","course",292,34748,9,27.3534013770495,264.64659862295,-17.942084753833
"Stan","mommy",93,34748,0,8.71187098652605,84.2881290134739,-18.2923978862723
"Stan","president",241,34748,6,22.5759237392772,218.424076260723,-18.4776128432812
"Stan","must",626,34748,30,58.6411961028528,567.358803897147,-18.4901084416733
"Stan","child",261,34748,7,24.4494443815409,236.550555618459,-18.6457737931711
"Stan","mr hat",132,34748,1,12.3652362389402,119.63476376106,-18.7477325271602
"Stan","well",4141,34748,309,387.912448980692,3753.08755101931,-18.9156783905077
"Stan","young man",98,34748,0,9.18025114709197,88.819748852908,-19.275971976743
"Stan","love",707,34748,35,66.2289547040206,640.771045295979,-19.3118819442335
"Stan","folks",99,34748,0,9.27392717920515,89.7260728207949,-19.4726868590823
"Stan","tom",248,34748,6,23.2316559640695,224.768344035931,-19.5067628897222
"Stan","mother",187,34748,3,17.5174180051653,169.482581994835,-19.6567992842451
"Stan","balls",287,34748,8,26.8850212164836,260.114978783516,-19.7150724136249
"Stan","chris",101,34748,0,9.46127924343152,91.5387207565685,-19.8661166845761
"Stan","next",427,34748,16,39.9996657123293,387.000334287671,-20.1367786196338
"Stan","jews",103,34748,0,9.64863130765788,93.3513686923421,-20.259546588509
"Stan","special",254,34748,6,23.7937121567486,230.206287843251,-20.3967134570132
"Stan","ha ha",145,34748,1,13.5830246564116,131.416975343588,-21.1165062537585
"Stan","may",220,34748,4,20.6087270649003,199.3912729351,-21.4486631119415
"Stan","gentlemen",148,34748,1,13.8640527527511,134.135947247249,-21.6655594950479
"Stan","park",666,34748,30,62.3882373873801,603.61176261262,-22.5533058384796
"Stan","certainly",115,34748,0,10.7727436930161,104.227256306984,-22.6201275016438
"Stan","little boy",157,34748,1,14.7071370417698,142.29286295823,-23.3175556140865
"Stan","im afraid",159,34748,1,14.8944891059962,144.105510894004,-23.6855921877147
"Stan","aint",161,34748,1,15.0818411702225,145.918158829777,-24.0539472326815
"Stan","south park",527,34748,20,49.3672689236476,477.632731076352,-24.3620618711586
"Stan","south",572,34748,22,53.5826903687409,518.417309631259,-25.8834382249294
"Stan","welcome",248,34748,4,23.2316559640695,224.768344035931,-25.9900207914526
"Stan","ike",271,34748,5,25.3862047026727,245.613795297327,-26.1718424512304
"Stan","man",985,34748,49,92.2708916314856,892.729108368514,-26.5810242668353
"Stan","penis",182,34748,1,17.0490378445994,164.950962155401,-27.9390782742143
"Stan","thank",565,34748,20,52.9269581439486,512.073041856051,-28.9999650666681
"Stan","now",4088,34748,286,382.947619278693,3705.05238072131,-29.43969743343
"Stan","eric cartman",154,34748,0,14.4261089454302,139.57389105457,-30.2920286972782
"Stan","thats right",325,34748,6,30.4447104367846,294.555289563215,-31.3743188767635
"Stan","will",1705,34748,95,159.717634752978,1545.28236524702,-33.3978188925357
"Stan","stanley",241,34748,1,22.5759237392772,218.424076260723,-38.9824461695997
"Stan","young",303,34748,3,28.3838377302946,274.616162269705,-39.5616297291709
"Stan","sir",525,34748,12,49.1799168594212,475.820083140579,-43.3382872844712
"Stan","son",641,34748,14,60.0463365845505,580.953663415449,-54.8798694022779
"Stan","randy",306,34748,0,28.6648658266341,277.335134173366,-60.1928621184409
"Stan","little",1717,34748,72,160.841747138336,1556.15825286166,-66.9209562741254
"Stan","yes",1539,34748,51,144.167413422189,1394.83258657781,-86.4305513249023
"Stan","stan",1168,34748,23,109.413605508198,1058.5863944918,-107.95329119451
"Stan","children",780,34748,3,73.067305048283,706.932694951717,-127.703982251051
"Stan","eric",879,34748,3,82.3412322274881,796.658767772512,-146.460708044761
"Stan","boys",934,34748,4,87.4934139937132,846.506586006287,-150.281730758813
"Kyle","cartman",1248,31264,528,105.185966387914,1142.81403361209,1038.43816644248
"Kyle","dude",2050,31264,609,172.781435172455,1877.21856482755,772.269183309597
"Kyle","ike",271,31264,159,22.8408628935294,248.159137106471,438.824283538438
"Kyle","stan",1168,31264,238,98.4432762348425,1069.55672376516,160.152259340937
"Kyle","mr hankey",113,31264,62,9.52404984121336,103.475950158787,160.124577767045
"Kyle","hankey",114,31264,62,9.60833346812675,104.391666531873,158.720207953923
"Kyle","little brother",59,31264,36,4.97273398789016,54.0272660121098,103.243785952655
"Kyle","brother",183,31264,61,15.4239037251508,167.576096274849,90.2949266074503
"Kyle","cartmans",141,31264,45,11.8839913947883,129.116008605212,62.9306078093179
"Kyle","kenny",963,31264,154,81.165132717597,881.834867282403,57.7826491124288
"Kyle","yeah",3674,31264,441,309.658045279804,3364.3419547202,54.3659300685935
"Kyle","fat",350,31264,73,29.4992694196874,320.500730580313,51.4793702387781
"Kyle","hell",1055,31264,159,88.9192263936291,966.080773606371,49.8637031075276
"Kyle","bastards",98,31264,33,8.25979543751247,89.7402045624875,49.4880014988463
"Kyle","cool",554,31264,96,46.6931293100195,507.306870689981,44.7260589543307
"Kyle","stupid",667,31264,107,56.2171791512328,610.782820848767,40.5105561305481
