"Stan","Kyle","Chef","Mrs..Garrison","Cartman","Jimbo","Gerald","Mr..Mackey","Randy","Kenny","Butters","Stephen","Craig","Sheila","Announcer","Sharon","Wendy","Principal.Victoria","Jesus","Liane","Jimmy","Narrator","Reporter","Satan","Mr..Garrison","Michael","Mayor","All.others","word"
1,2,0,1,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,31,"allow"
2,5,0,1,6,1,0,0,3,0,0,3,0,0,1,4,0,0,0,0,0,2,1,0,2,1,0,22,"allowed"
12,19,4,1,27,2,0,0,7,4,10,0,0,1,3,4,1,3,1,5,0,4,1,0,1,0,1,83,"almost"
14,19,0,0,26,0,1,2,10,0,11,5,0,1,0,4,3,1,2,1,0,2,0,1,0,0,1,86,"alone"
8,5,3,4,17,0,3,1,6,0,7,0,2,0,2,0,1,0,0,1,5,0,1,0,6,1,2,65,"along"
21,24,2,0,46,0,2,8,10,1,13,0,1,2,1,0,2,0,1,0,3,5,2,0,2,0,1,106,"already"
84,59,15,0,173,10,4,11,44,3,30,2,1,3,2,7,0,3,5,3,8,0,0,1,20,11,5,453,"alright"
10,5,0,0,17,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,14,"alright alright"
1,2,0,0,6,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"alright fine"
9,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,18,"alright lets"
2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,"alright oh"
2,2,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,"alright well"
6,5,1,2,26,2,5,2,5,0,6,0,1,1,1,1,0,1,0,0,1,8,8,1,4,0,0,73,"also"
23,42,10,1,54,4,4,6,13,0,16,6,5,8,1,4,1,1,1,0,4,2,0,2,5,1,1,116,"always"
0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6,"always wanted"
