"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL","direction","ngram"
"CARTMAN","children",598,28206,9,97.911916827752,500.088083172248,149.807012316516,"LOW",1
"CARTMAN","boys",531,28206,8,86.9418525677864,444.058147432214,132.979973232715,"LOW",1
"CARTMAN","cartman",851,28206,47,139.336189331801,711.663810668199,94.0120299343288,"LOW",1
"CARTMAN","kids",471,28206,20,77.1179144245337,393.882085575466,68.1608733421855,"LOW",1
"CARTMAN","dad",364,28206,20,59.5985580690664,304.401441930934,40.4625103019119,"LOW",1
"CARTMAN","hat",208,28206,6,34.0563188966094,173.943681103391,39.5775199715994,"LOW",1
"CARTMAN","terrance",209,28206,7,34.2200511989969,174.779948801003,36.2583172367546,"LOW",1
"CARTMAN","well",2444,28206,300,400.16174703516,2043.83825296484,32.3019989117927,"LOW",1
"CARTMAN","south",389,28206,29,63.691865628755,325.308134371245,27.3263190969014,"LOW",1
"CARTMAN","phillip",207,28206,11,33.8925865942218,173.107413405778,23.9307065714969,"LOW",1
"CARTMAN","killed",142,28206,5,23.2499869390314,118.750013060969,23.8024756034296,"LOW",1
"CARTMAN","garrison",226,28206,13,37.0035003395852,188.996499660415,23.7364818876752,"LOW",1
"CARTMAN","fellas",87,28206,1,14.2447103077164,72.7552896922836,23.4534860926649,"LOW",1
"CARTMAN","eric",402,28206,33,65.8203855597931,336.179614440207,23.1776277409596,"LOW",1
"CARTMAN","young",156,28206,7,25.542239172457,130.457760827543,21.4813202197125,"LOW",1
"CARTMAN","future",101,28206,3,16.536962541142,84.463037458858,18.894164994572,"LOW",1
"CARTMAN","park",432,28206,41,70.7323546314195,361.267645368581,17.13004377141,"LOW",1
"CARTMAN","americans",65,28206,1,10.6425996551904,54.3574003448096,16.1729671597902,"LOW",1
"CARTMAN","dude",1135,28206,138,185.836163209864,949.163836790136,15.9028283728499,"LOW",1
"CARTMAN","fatass",101,28206,4,16.536962541142,84.463037458858,15.4945821270081,"LOW",1
"CARTMAN","child",122,28206,6,19.9753408912805,102.02465910872,15.350281990724,"LOW",1
"CARTMAN","tom",100,28206,4,16.3732302387545,83.6267697612455,15.2181992540937,"LOW",1
"CARTMAN","bastards",76,28206,2,12.4436549814534,63.5563450185466,15.2042074377682,"LOW",1
"CARTMAN","sure",602,28206,65,98.5668460373021,503.433153962698,15.1984438372202,"LOW",1
"CARTMAN","little",885,28206,104,144.903087612977,740.096912387023,15.0379971121116,"LOW",1
"CARTMAN","canada",87,28206,3,14.2447103077164,72.7552896922836,14.7975110052699,"LOW",1
"CARTMAN","ike",86,28206,3,14.0809780053289,71.9190219946711,14.5104943747238,"LOW",1
"CARTMAN","chef",328,28206,30,53.7041951831148,274.295804816885,14.4626597976104,"LOW",1
"CARTMAN","cartmans",85,28206,3,13.9172457029413,71.0827542970587,14.2243183746768,"LOW",1
"CARTMAN","cows",85,28206,3,13.9172457029413,71.0827542970587,14.2243183746768,"LOW",1
"CARTMAN","sweetie",59,28206,1,9.66020584086516,49.3397941591348,14.2225703623019,"LOW",1
"CARTMAN","small",58,28206,1,9.49647353847761,48.5035264615224,13.8994418201474,"LOW",1
"CARTMAN","boy",403,28206,40,65.9841178621807,337.015882137819,13.8792664745548,"LOW",1
"CARTMAN","ladies",71,28206,2,11.6249934695157,59.3750065304843,13.6921314146342,"LOW",1
"CARTMAN","school",331,28206,32,54.1953920902774,276.804607909723,12.4057191665751,"LOW",1
"CARTMAN","weve",331,28206,32,54.1953920902774,276.804607909723,12.4057191665751,"LOW",1
"CARTMAN","group",52,28206,1,8.51407972415234,43.4859202758477,11.9741762594131,"LOW",1
"CARTMAN","good",736,28206,88,120.506974557233,615.493025442767,11.3720749123501,"LOW",1
"CARTMAN","sexual",63,28206,2,10.3151350504153,52.6848649495847,11.3167081486995,"LOW",1
"CARTMAN","sorry",350,28206,36,57.3063058356408,292.693694164359,10.6550546198027,"LOW",1
"CARTMAN","lets",727,28206,88,119.033383835745,607.966616164255,10.4607444848705,"LOW",1
"CARTMAN","hoh",82,28206,4,13.4260487957787,68.5739512042213,10.4049699329474,"LOW",1
"CARTMAN","great",436,28206,48,71.3872838409696,364.61271615903,10.1394108248974,"LOW",1
"CARTMAN","show",403,28206,44,65.9841178621807,337.015882137819,9.71234304959528,"LOW",1
"CARTMAN","without",108,28206,7,17.6830886578549,90.3169113421451,9.60897020178063,"LOW",1
"CARTMAN","jimbo",57,28206,2,9.33274123609007,47.6672587639099,9.57820003092877,"LOW",1
"CARTMAN","baby",152,28206,12,24.8873099629068,127.112690037093,9.53232060000805,"LOW",1
"CARTMAN","action",44,28206,1,7.20422130505198,36.795778694948,9.45092654364911,"LOW",1
"CARTMAN","state",56,28206,2,9.16900893370252,46.8309910662975,9.29266884570178,"LOW",1
"CARTMAN","coffee",55,28206,2,9.00527663131498,45.994723368685,9.00846063065116,"LOW",1
"CARTMAN","town",284,28206,29,46.4999738780628,237.500026121937,8.87382055629632,"LOW",1
"CARTMAN","billy",42,28206,1,6.87675670027689,35.1232432997231,8.82983989396239,"LOW",1
"CARTMAN","wife",42,28206,1,6.87675670027689,35.1232432997231,8.82983989396239,"LOW",1
"CARTMAN","pip",95,28206,6,15.5545687268168,79.4454312731832,8.7836057234119,"LOW",1
"CARTMAN","fun",148,28206,12,24.2323807533567,123.767619246643,8.76896445510367,"LOW",1
"CARTMAN","aaaah",54,28206,2,8.84154432892743,45.1584556710726,8.72562486382604,"LOW",1
"CARTMAN","run",139,28206,11,22.7587900318688,116.241209968131,8.67365007896653,"LOW",1
"CARTMAN","officer",85,28206,5,13.9172457029413,71.0827542970587,8.67219269401564,"LOW",1
"CARTMAN","learned",94,28206,6,15.3908364244292,78.6091635755708,8.55718858719853,"LOW",1
"CARTMAN","theyve",94,28206,6,15.3908364244292,78.6091635755708,8.55718858719853,"LOW",1
"CARTMAN","wants",121,28206,9,19.811608588893,101.188391411107,8.53653935235268,"LOW",1
"CARTMAN","building",41,28206,1,6.71302439788935,34.2869756021107,8.52101220997492,"LOW",1
"CARTMAN","mountain",53,28206,2,8.67781202653989,44.3221879734601,8.44421385225672,"LOW",1
"CARTMAN","dance",84,28206,5,13.7535134005538,70.2464865994462,8.43657022426226,"LOW",1
"CARTMAN","new",465,28206,54,76.1355206102085,388.864479389792,8.40648764317736,"LOW",1
"CARTMAN","learn",93,28206,6,15.2271041220417,77.7728958779583,8.33222221578807,"LOW",1
"CARTMAN","women",40,28206,1,6.5492920955018,33.4507079044982,8.21340441021196,"LOW",1
"CARTMAN","news",145,28206,12,23.741183846194,121.258816153806,8.20891234589904,"LOW",1
"CARTMAN","vote",73,28206,4,11.9524580742908,61.0475419257092,8.14145166287583,"LOW",1
"CARTMAN","attention",82,28206,5,13.4260487957787,68.5739512042213,7.96988413548172,"LOW",1
"CARTMAN","wuh",39,28206,1,6.38555979311426,32.6144402068857,7.90707907290851,"LOW",1
"CARTMAN","job",100,28206,7,16.3732302387545,83.6267697612455,7.86353531237437,"LOW",1
"CARTMAN","must",328,28206,36,53.7041951831148,274.295804816885,7.72927482574522,"LOW",1
"CARTMAN","woman",90,28206,6,14.7359072148791,75.264092785121,7.66635781442858,"LOW",1
"CARTMAN","horrible",50,28206,2,8.18661511937725,41.8133848806227,7.60909962704685,"LOW",1
"CARTMAN","america",107,28206,8,17.5193563554673,89.4806436445327,7.47547214644419,"LOW",1
"CARTMAN","glad",60,28206,3,9.8239381432527,50.1760618567473,7.41924725820915,"LOW",1
"CARTMAN","late",60,28206,3,9.8239381432527,50.1760618567473,7.41924725820915,"LOW",1
"CARTMAN","douche",70,28206,4,11.4612611671282,58.5387388328718,7.41408546850061,"LOW",1
"CARTMAN","dumb",70,28206,4,11.4612611671282,58.5387388328718,7.41408546850061,"LOW",1
"CARTMAN","seems",70,28206,4,11.4612611671282,58.5387388328718,7.41408546850061,"LOW",1
"CARTMAN","whats",484,28206,58,79.2464343555718,404.753565644428,7.38327307738464,"LOW",1
"CARTMAN","son",347,28206,39,56.8151089284781,290.184891071522,7.35543833330317,"LOW",1
"CARTMAN","law",49,28206,2,8.02288281698971,40.9771171830103,7.3339754592092,"LOW",1
"CARTMAN","sex",106,28206,8,17.3556240530798,88.6443759469202,7.27403725291832,"LOW",1
"CARTMAN","shit",164,28206,15,26.8520975915574,137.147902408443,7.23132989880521,"LOW",1
"CARTMAN","government",48,28206,2,7.85915051460216,40.1408494853978,7.06058853374549,"LOW",1
"CARTMAN","lesson",36,28206,1,5.89436288595162,30.1056371140484,6.99650103903818,"LOW",1
"CARTMAN","doin",68,28206,4,11.1337965623531,56.8662034376469,6.93775415521251,"LOW",1
"CARTMAN","came",129,28206,11,21.1214670079933,107.878532992007,6.81149688047407,"LOW",1
"CARTMAN","colorado",67,28206,4,10.9700642599655,56.0299357400345,6.70231890666988,"LOW",1
"CARTMAN","cancer",35,28206,1,5.73063058356408,29.2693694164359,6.69603866386033,"LOW",1
"CARTMAN","lee",35,28206,1,5.73063058356408,29.2693694164359,6.69603866386033,"LOW",1
"CARTMAN","prime",35,28206,1,5.73063058356408,29.2693694164359,6.69603866386033,"LOW",1
"CARTMAN","real",184,28206,18,30.1267436393083,153.873256360692,6.64353932261761,"LOW",1
"CARTMAN","girls",128,28206,11,20.9577347056058,107.042265294394,6.63286600174272,"LOW",1
"CARTMAN","dear",76,28206,5,12.4436549814534,63.5563450185466,6.60920248130343,"LOW",1
"CARTMAN","started",85,28206,6,13.9172457029413,71.0827542970587,6.58885830764109,"LOW",1
"CARTMAN","soon",111,28206,9,18.1742855650175,92.8257144349825,6.57672334132775,"LOW",1
"CARTMAN","arent",119,28206,10,19.4841439841179,99.5158560158821,6.50441659636499,"LOW",1
"CARTMAN","point",66,28206,4,10.806331957578,55.193668042422,6.46877916843057,"LOW",1
"CARTMAN","clean",34,28206,1,5.56689828117653,28.4331017188235,6.39725766771021,"LOW",1
"CARTMAN","wheres",75,28206,5,12.2799226790659,62.7200773209341,6.38863151202382,"LOW",1
"CARTMAN","welcome",126,28206,11,20.6302701008307,105.369729899169,6.28003577546716,"LOW",1
"CARTMAN","bastard",45,28206,2,7.36795360743953,37.6320463925605,6.25162394602739,"LOW",1
"CARTMAN","beautiful",65,28206,4,10.6425996551904,54.3574003448096,6.23719470363971,"LOW",1
"CARTMAN","whore",55,28206,3,9.00527663131498,45.994723368685,6.16738150162503,"LOW",1
"CARTMAN","timmy",165,28206,16,27.0158298939449,137.984170106055,6.12588989121763,"LOW",1
"CARTMAN","country",125,28206,11,20.4665377984431,104.533462201557,6.10588570266296,"LOW",1
"CARTMAN","move",125,28206,11,20.4665377984431,104.533462201557,6.10588570266296,"LOW",1
"CARTMAN","minister",33,28206,1,5.40316597878899,27.596834021211,6.10025999781747,"LOW",1
"CARTMAN","years",188,28206,19,30.7816728488585,157.218327151142,6.09072193520944,"LOW",1
"CARTMAN","problem",133,28206,12,21.7763962175435,111.223603782457,6.08591735551802,"LOW",1
"CARTMAN","ooh",64,28206,4,10.4788673528029,53.5211326471971,6.00762814814383,"LOW",1
"CARTMAN","taken",64,28206,4,10.4788673528029,53.5211326471971,6.00762814814383,"LOW",1
"CARTMAN","pass",44,28206,2,7.20422130505198,36.795778694948,5.98598521730693,"LOW",1
"CARTMAN","tree",44,28206,2,7.20422130505198,36.795778694948,5.98598521730693,"LOW",1
"CARTMAN","things",210,28206,22,34.3837835013845,175.616216498616,5.97311827999529,"LOW",1
"CARTMAN","think",1106,28206,152,181.087926440625,924.912073559375,5.85014780943722,"LOW",1
"CARTMAN","anywhere",32,28206,1,5.23943367640144,26.7605663235986,5.80515716492041,"LOW",1
"CARTMAN","kathie",32,28206,1,5.23943367640144,26.7605663235986,5.80515716492041,"LOW",1
"CARTMAN","nose",32,28206,1,5.23943367640144,26.7605663235986,5.80515716492041,"LOW",1
"CARTMAN","planetarium",32,28206,1,5.23943367640144,26.7605663235986,5.80515716492041,"LOW",1
"CARTMAN","denver",72,28206,5,11.7887257719032,60.2112742280968,5.73856548744116,"LOW",1
"CARTMAN","now",2120,28206,307,347.112481061596,1772.8875189384,5.72586357231899,"LOW",1
"CARTMAN","normal",53,28206,3,8.67781202653989,44.3221879734601,5.68081683222044,"LOW",1
"CARTMAN","return",53,28206,3,8.67781202653989,44.3221879734601,5.68081683222044,"LOW",1
"CARTMAN","thanks",230,28206,25,37.6584295491354,192.341570450865,5.64819187875373,"LOW",1
