"speaker","word","word.total","speaker.total","speaker.word","E1","E2","LL","ngram"
"CARTMAN","guys",1084,22872,521,179.33892714542,904.66107285458,577.224313223621,1
"CARTMAN","kyle",615,22872,291,101.746716046525,513.253283953475,313.490161825141,1
"CARTMAN","seriously",62,22872,49,10.2573925120074,51.7426074879926,117.339882351964,1
"CARTMAN","mom",444,22872,158,73.4561657311498,370.54383426885,93.8898312710805,1
"CARTMAN","goddamnit",164,22872,79,27.1324576124067,136.867542387593,87.8757078345503,1
"CHRIS","butters",510,933,39,3.44185811006307,506.558141889937,120.789197709784,1
"CARTMAN","sweet",175,22872,78,28.9523175742145,146.047682425786,75.2160338761384,1
"CARTMAN","scott",94,22872,52,15.5515305827209,78.4484694172791,73.0559266900975,1
"CARTMAN","kenny",632,22872,190,104.559226896592,527.440773103408,70.736349296402,1
"CARTMAN","bitch",185,22872,77,30.6067357213124,154.393264278688,64.8858331626912,1
"CARTMAN","clyde",68,22872,40,11.2500434002662,56.7499565997338,61.9193760538383,1
"CARTMAN","jew",83,22872,43,13.7316706209131,69.2683293790869,54.2399222816334,1
"CARTMAN","token",108,22872,50,17.8677159886581,90.1322840113419,51.7658429555011,1
"CARTMAN","screw",103,22872,47,17.0405069151091,85.9594930848909,47.3733650292113,1
"CARTMAN","heh",117,22872,51,19.3566923210462,97.6433076789538,47.1163544455277,1
"CARTMAN","jews",62,22872,34,10.2573925120074,51.7426074879926,47.1002909322013,1
"CARTMAN","ass",402,22872,121,66.5076095133384,335.492390486662,45.2192821137853,1
"CARTMAN","kick",135,22872,55,22.3346449858226,112.665355014177,44.3481009778676,1
"CARTMAN","crap",165,22872,61,27.2978994271165,137.702100572884,39.7098549726985,1
"CARTMAN","weak",51,22872,28,8.43753255019964,42.5624674498004,38.8608016382003,1
"CARTMAN","kyles",62,22872,31,10.2573925120074,51.7426074879926,36.8090386137227,1
"CARTMAN","goddamned",75,22872,35,12.4081361032348,62.5918638967652,36.7692290003278,1
"CARTMAN","craig",93,22872,40,15.3860887680111,77.6139112319889,35.999049176861,1
"CARTMAN","awesome",102,22872,42,16.8750651003993,85.1249348996007,34.6208794951993,1
"CARTMAN","asshole",110,22872,43,18.1985996180777,91.8014003819223,31.7462893039852,1
"CARTMAN","ten",114,22872,44,18.8603668769168,95.1396331230832,31.5881125869803,1
"KYLE","cool",316,14212,71,32.4850413749204,283.51495862508,39.4865516677603,1
"CARTMAN","bucks",52,22872,25,8.60297436490944,43.3970256350906,27.7124731449329,1
"CARTMAN","hate",160,22872,53,26.4706903535675,133.529309646432,26.1915808276457,1
"CARTMAN","poor",101,22872,38,16.7096232856895,84.2903767143105,25.7589483969498,1
"CARTMAN","ill",583,22872,144,96.4525779758116,486.547422024188,25.1303129887962,1
"CARTMAN","fine",223,22872,67,36.8935246802847,186.106475319715,24.8955393351907,1
"CARTMAN","album",52,22872,24,8.60297436490944,43.3970256350906,24.7069617534931,1
"JIMBO","frog",53,2173,12,0.833060876106707,52.1669391238933,44.2694210609749,1
"CARTMAN","stupid",359,22872,96,59.3936114808171,299.606388519183,23.6450366908799,1
"CARTMAN","totally",102,22872,37,16.8750651003993,85.1249348996007,23.0307256633057,1
"CARTMAN","funny",116,22872,40,19.1912505063364,96.8087494936636,21.9693848782426,1
"CARTMAN","god",846,22872,192,139.963775244488,706.036224755512,21.2474782630104,1
"CARTMAN","dollar",52,22872,22,8.60297436490944,43.3970256350906,19.1615045538579,1
"CARTMAN","pissed",62,22872,24,10.2573925120074,51.7426074879926,17.3417965813098,1
"CARTMAN","dollars",217,22872,60,35.9008737920259,181.099126207974,16.791148620531,1
"CARTMAN","shut",186,22872,53,30.7721775360222,155.227822463978,16.5212829193169,1
"CARTMAN","voice",56,22872,22,9.26474162374863,46.7352583762514,16.4189572067776,1
"CARTMAN","balls",110,22872,35,18.1985996180777,91.8014003819223,15.4593232081846,1
"CARTMAN","ugh",68,22872,24,11.2500434002662,56.7499565997338,13.9757858314797,1
"ALL.OTHERS","yes",791,52031,374,297.700661130722,493.299338869278,30.5321716857305,1
"CARTMAN","damnit",141,22872,40,23.3272958740814,117.672704125919,12.2775374855522,1
"KENNY","mine",64,764,5,0.353683235923847,63.6463167640762,17.5430414630107,1
"STAN","gonna",1346,16420,228,159.867195185464,1186.13280481454,29.6061770324245,1
"STAN","suck",85,16420,22,10.0956252531682,74.9043747468318,12.4655978773321,1
"KENNY","fuck",81,764,17,0.447630345466119,80.5523696545339,94.2149001349845,1
"CARTMAN","call",233,22872,59,38.5479428273827,194.452057172617,11.5515370811486,1
"CARTMAN","rest",82,22872,26,13.5662288062033,68.4337711937967,11.3690252828197,1
"CARTMAN","tweek",117,22872,34,19.3566923210462,97.6433076789538,11.3341517530431,1
"STAN","dude",1135,16420,552,134.806290145246,1000.19370985475,926.956701616496,1
"KYLE","cartman",851,14212,354,87.4834500318269,763.516549968173,562.907168221904,1
"STAN","dad",364,16420,112,43.2330304959204,320.76696950408,91.6162190135744,1
"STAN","killed",142,16420,54,16.865632775881,125.134367224119,63.7192284803861,1
"STAN","chef",328,16420,91,38.9572362710491,289.042763728951,60.3120076376942,1
"STAN","cartmans",85,16420,35,10.0956252531682,74.9043747468318,46.6082821084327,1
"KENNY","yeah",1863,764,50,10.2954979457207,1852.70450205428,79.479659926399,1
"STAN","gotta",296,16420,72,35.1565302933858,260.843469706614,35.0082754576716,1
"STAN","wendy",115,16420,35,13.6587871072276,101.341212892772,28.0329047835221,1
"KYLE","fatass",101,14212,60,10.3828771483132,90.6171228516868,145.470552877139,1
"STAN","theyve",94,16420,28,11.164573809386,82.835426190614,21.4991500538823,1
"STAN","jimbo",57,16420,20,6.77000752271281,50.2299924772872,20.7078177617977,1
"STAN","sucks",91,16420,27,10.8082576239801,80.1917423760199,20.5696318727419,1
"KYLE","hes",659,14212,109,67.7457033736474,591.254296626353,24.1172104116707,1
"STAN","come",1384,16420,220,164.380533533939,1219.61946646606,19.5721273005338,1
"STAN","wheres",75,16420,23,8.90790463514843,66.0920953648516,18.6937726653697,1
"STAN","whats",484,16420,90,57.4856779121579,426.514322087842,18.2048003877532,1
"STAN","stuff",157,16420,37,18.6472137029107,138.352786297089,16.5507424449296,1
"STAN","something",388,16420,73,46.0835599791679,341.916440020832,15.5044061982599,1
"JIMMY","wow",361,1673,23,4.36862016087032,356.63137983913,40.1361633449423,1
"KYLE","kennys",101,14212,25,10.3828771483132,90.6171228516868,17.1975931552644,1
"BUTTERS","parents",275,4511,25,8.97318586887333,266.026814131127,20.1636567047504,1
"TERRANCE","wait",491,696,12,2.47190556102077,488.528094438979,19.0488796121144,1
"KYLE","hoh",82,14212,25,8.42966263526416,73.5703373647358,25.2642193628225,1
"STAN","doesnt",254,16420,49,30.1681036977027,223.831896302297,11.5004553830151,1
"BUTTERS","hey",1172,4511,92,38.2420866847983,1133.7579133152,56.5991658073452,1
"BUTTERS","huh",483,4511,67,15.7601773624212,467.239822637579,97.2826811766346,1
"KENNY","stick",56,764,4,0.309472831433366,55.6905271685666,13.3425347810583,1
"CHEF","children",598,3873,217,16.7528933510792,581.247106648921,789.764673585988,1
"CHEF","flag",63,3873,22,1.76493692494647,61.2350630750535,78.1146834531459,1
"CHEF","hello",410,3873,44,11.4860974480643,398.513902551936,55.8887721299026,1
"CHEF","woman",90,3873,15,2.52133846420925,87.4786615357907,30.4117918311019,1
"CHEF","love",360,3873,31,10.085353856837,349.914646143163,29.0664518414686,1
"CHEF","singing",61,3873,11,1.70890718129738,59.2910928187026,23.9212976130308,1
"CHEF","doctor",94,3873,13,2.63339795150744,91.3666020484926,22.0037349167719,1
"CHEF","damn",148,3873,16,4.14620103003298,143.853798969967,20.5098469489248,1
"CHEF","black",124,3873,13,3.47384410624385,120.526155893756,16.0331538400724,1
"BUTTERS","aint",81,4511,13,2.64301111046814,78.3569888895319,22.1384188381889,1
"CHEF","change",114,3873,12,3.19369538799838,110.806304612002,14.8760559016479,1
"CHEF","got",1023,3873,51,28.6592138765118,994.340786123488,14.6119464871126,1
"BUTTERS","doin",68,4511,12,2.2188241421214,65.7811758578786,22.480315384754,1
"COUNSELOR.MACKEY","drugs",63,1557,11,0.709529251779411,62.2904707482206,41.5243414466309,1
"CHEF","ooh",64,3873,8,1.79295179677102,62.207048203229,12.1561905160948,1
"CHEF","goin",134,3873,12,3.75399282448932,130.246007175511,11.9315077484624,1
"MR..GARRISON","hat",208,4440,81,6.68016897170303,201.319831028297,287.219781252073,1
"MR..GARRISON","class",86,4440,25,2.76199294022337,83.2380070597766,72.2248825100561,1
"MS..CARTMAN","eric",402,875,55,2.54434060528905,399.455659394711,240.380858667962,1
"MR..GARRISON","okay",1109,4440,81,35.6168624500897,1073.38313754991,44.2842287880548,1
"MR..GARRISON","teacher",69,4440,12,2.21601759157456,66.7839824084254,22.4817106598376,1
"MR..GARRISON","attention",82,4440,13,2.633528152306,79.366471847694,22.1964558286086,1
"MR..GARRISON","gay",215,4440,22,6.90498235055842,208.095017649442,21.9195893771222,1
